config_id,source,bin_width,u_max,max_k,matrix_size,samples,seed,l2_to_sine_kernel,mean_normalized_spacing,notes
h003_m60_s25,gue,0.025,3,100,60,25,1730,0.182117510654,1,GUE sine-kernel comparison
h003_m60_s25,goe,0.025,3,100,60,25,1729,0.210932734224,1,GOE contrast ensemble
h003_m80_s15,gue,0.025,3,100,80,15,1730,0.235490146852,1,GUE sine-kernel comparison
h003_m80_s15,goe,0.025,3,100,80,15,1729,0.212894475188,1,GOE contrast ensemble
h003_m80_s25,gue,0.025,3,100,80,25,1730,0.185037511873,1,GUE sine-kernel comparison
h003_m80_s25,goe,0.025,3,100,80,25,1729,0.171624132554,1,GOE contrast ensemble
h003_m120_s15,gue,0.025,3,100,120,15,1730,0.15457497169,1,GUE sine-kernel comparison
h003_m120_s15,goe,0.025,3,100,120,15,1729,0.184073875343,1,GOE contrast ensemble
h003_m120_s25,gue,0.025,3,100,120,25,1730,0.118083871407,1,GUE sine-kernel comparison
h003_m120_s25,goe,0.025,3,100,120,25,1729,0.164694917242,1,GOE contrast ensemble
h004_m60_s15,gue,0.025,5,25,60,15,1730,0.255685029649,1,GUE sine-kernel comparison
h004_m60_s15,goe,0.025,5,25,60,15,1729,0.257345885084,1,GOE contrast ensemble
h004_m60_s25,gue,0.025,5,25,60,25,1730,0.19525174832,1,GUE sine-kernel comparison
h004_m60_s25,goe,0.025,5,25,60,25,1729,0.208900010164,1,GOE contrast ensemble
h004_m80_s15,gue,0.025,5,25,80,15,1730,0.224589640102,1,GUE sine-kernel comparison
h004_m80_s15,goe,0.025,5,25,80,15,1729,0.213104438584,1,GOE contrast ensemble
h004_m80_s25,gue,0.025,5,25,80,25,1730,0.178354950012,1,GUE sine-kernel comparison
h004_m80_s25,goe,0.025,5,25,80,25,1729,0.184576243072,1,GOE contrast ensemble
h004_m120_s15,gue,0.025,5,25,120,15,1730,0.168616198432,1,GUE sine-kernel comparison
h004_m120_s15,goe,0.025,5,25,120,15,1729,0.180294678125,1,GOE contrast ensemble
h004_m120_s25,gue,0.025,5,25,120,25,1730,0.131651910103,1,GUE sine-kernel comparison
h004_m120_s25,goe,0.025,5,25,120,25,1729,0.152848344519,1,GOE contrast ensemble
h005_m60_s15,gue,0.025,5,50,60,15,1730,0.255685029649,1,GUE sine-kernel comparison
h005_m60_s15,goe,0.025,5,50,60,15,1729,0.257345885084,1,GOE contrast ensemble
h005_m60_s25,gue,0.025,5,50,60,25,1730,0.19525174832,1,GUE sine-kernel comparison
h005_m60_s25,goe,0.025,5,50,60,25,1729,0.208900010164,1,GOE contrast ensemble
h005_m80_s15,gue,0.025,5,50,80,15,1730,0.224589640102,1,GUE sine-kernel comparison
h005_m80_s15,goe,0.025,5,50,80,15,1729,0.213104438584,1,GOE contrast ensemble
h005_m80_s25,gue,0.025,5,50,80,25,1730,0.178354950012,1,GUE sine-kernel comparison
h005_m80_s25,goe,0.025,5,50,80,25,1729,0.184576243072,1,GOE contrast ensemble
h005_m120_s15,gue,0.025,5,50,120,15,1730,0.168616198432,1,GUE sine-kernel comparison
h005_m120_s15,goe,0.025,5,50,120,15,1729,0.180294678125,1,GOE contrast ensemble
h005_m120_s25,gue,0.025,5,50,120,25,1730,0.131651910103,1,GUE sine-kernel comparison
h005_m120_s25,goe,0.025,5,50,120,25,1729,0.152848344519,1,GOE contrast ensemble
h006_m60_s15,gue,0.025,5,100,60,15,1730,0.255685029649,1,GUE sine-kernel comparison
h006_m60_s15,goe,0.025,5,100,60,15,1729,0.257345885084,1,GOE contrast ensemble
h006_m60_s25,gue,0.025,5,100,60,25,1730,0.19525174832,1,GUE sine-kernel comparison
h006_m60_s25,goe,0.025,5,100,60,25,1729,0.208900010164,1,GOE contrast ensemble
h006_m80_s15,gue,0.025,5,100,80,15,1730,0.224589640102,1,GUE sine-kernel comparison
h006_m80_s15,goe,0.025,5,100,80,15,1729,0.213104438584,1,GOE contrast ensemble
h006_m80_s25,gue,0.025,5,100,80,25,1730,0.178354950012,1,GUE sine-kernel comparison
h006_m80_s25,goe,0.025,5,100,80,25,1729,0.184576243072,1,GOE contrast ensemble
