index,gamma,source,block_label
1000000000240,267653395710.2672956363,odlyzko_block_1e12_10k,block_1e12_10k
1000000000241,267653395710.5935618529,odlyzko_block_1e12_10k,block_1e12_10k
1000000000242,267653395710.8431621505,odlyzko_block_1e12_10k,block_1e12_10k
1000000000243,267653395711.0551637876,odlyzko_block_1e12_10k,block_1e12_10k
1000000000244,267653395711.1712962155,odlyzko_block_1e12_10k,block_1e12_10k
1000000000245,267653395711.5925609325,odlyzko_block_1e12_10k,block_1e12_10k
1000000000246,267653395711.6701455982,odlyzko_block_1e12_10k,block_1e12_10k
1000000000247,267653395712.0457001920,odlyzko_block_1e12_10k,block_1e12_10k
1000000000248,267653395712.4014663744,odlyzko_block_1e12_10k,block_1e12_10k
1000000000249,267653395712.7825022108,odlyzko_block_1e12_10k,block_1e12_10k
1000000000250,267653395713.0867042960,odlyzko_block_1e12_10k,block_1e12_10k
1000000000251,267653395713.2342844433,odlyzko_block_1e12_10k,block_1e12_10k
1000000000252,267653395713.6671788065,odlyzko_block_1e12_10k,block_1e12_10k
1000000000253,267653395713.7770809001,odlyzko_block_1e12_10k,block_1e12_10k
1000000000254,267653395713.9312267296,odlyzko_block_1e12_10k,block_1e12_10k
1000000000255,267653395714.2737777439,odlyzko_block_1e12_10k,block_1e12_10k
1000000000256,267653395714.4425919827,odlyzko_block_1e12_10k,block_1e12_10k
1000000000257,267653395714.6868641499,odlyzko_block_1e12_10k,block_1e12_10k
1000000000258,267653395714.9428212786,odlyzko_block_1e12_10k,block_1e12_10k
1000000000259,267653395715.5453178303,odlyzko_block_1e12_10k,block_1e12_10k
1000000000260,267653395715.5842390858,odlyzko_block_1e12_10k,block_1e12_10k
1000000000261,267653395715.6817931628,odlyzko_block_1e12_10k,block_1e12_10k
1000000000262,267653395716.0406090139,odlyzko_block_1e12_10k,block_1e12_10k
1000000000263,267653395716.2965355837,odlyzko_block_1e12_10k,block_1e12_10k
1000000000264,267653395716.5116099723,odlyzko_block_1e12_10k,block_1e12_10k
1000000000265,267653395716.7103676175,odlyzko_block_1e12_10k,block_1e12_10k
1000000000266,267653395717.0404051562,odlyzko_block_1e12_10k,block_1e12_10k
1000000000267,267653395717.3050916542,odlyzko_block_1e12_10k,block_1e12_10k
1000000000268,267653395717.4211542841,odlyzko_block_1e12_10k,block_1e12_10k
1000000000269,267653395717.7628449081,odlyzko_block_1e12_10k,block_1e12_10k
1000000000270,267653395717.9229694607,odlyzko_block_1e12_10k,block_1e12_10k
1000000000271,267653395718.3209753560,odlyzko_block_1e12_10k,block_1e12_10k
1000000000272,267653395718.4914898616,odlyzko_block_1e12_10k,block_1e12_10k
1000000000273,267653395718.9074984723,odlyzko_block_1e12_10k,block_1e12_10k
1000000000274,267653395719.2005537330,odlyzko_block_1e12_10k,block_1e12_10k
1000000000275,267653395719.3304190116,odlyzko_block_1e12_10k,block_1e12_10k
1000000000276,267653395719.5836400978,odlyzko_block_1e12_10k,block_1e12_10k
1000000000277,267653395719.8004822374,odlyzko_block_1e12_10k,block_1e12_10k
1000000000278,267653395720.0867209603,odlyzko_block_1e12_10k,block_1e12_10k
1000000000279,267653395720.4751291565,odlyzko_block_1e12_10k,block_1e12_10k
1000000000280,267653395720.6515879585,odlyzko_block_1e12_10k,block_1e12_10k
1000000000281,267653395720.8846706942,odlyzko_block_1e12_10k,block_1e12_10k
1000000000282,267653395720.9402304805,odlyzko_block_1e12_10k,block_1e12_10k
1000000000283,267653395721.3046169762,odlyzko_block_1e12_10k,block_1e12_10k
1000000000284,267653395721.5203205222,odlyzko_block_1e12_10k,block_1e12_10k
1000000000285,267653395721.8077683303,odlyzko_block_1e12_10k,block_1e12_10k
1000000000286,267653395722.0636182585,odlyzko_block_1e12_10k,block_1e12_10k
1000000000287,267653395722.3529217885,odlyzko_block_1e12_10k,block_1e12_10k
1000000000288,267653395722.7355782352,odlyzko_block_1e12_10k,block_1e12_10k
1000000000289,267653395723.0256941477,odlyzko_block_1e12_10k,block_1e12_10k
1000000000290,267653395723.2686894769,odlyzko_block_1e12_10k,block_1e12_10k
1000000000291,267653395723.4995675397,odlyzko_block_1e12_10k,block_1e12_10k
1000000000292,267653395723.9985569311,odlyzko_block_1e12_10k,block_1e12_10k
1000000000293,267653395724.0732273404,odlyzko_block_1e12_10k,block_1e12_10k
1000000000294,267653395724.3018082536,odlyzko_block_1e12_10k,block_1e12_10k
1000000000295,267653395724.5863864826,odlyzko_block_1e12_10k,block_1e12_10k
1000000000296,267653395724.6628333667,odlyzko_block_1e12_10k,block_1e12_10k
1000000000297,267653395724.9665033716,odlyzko_block_1e12_10k,block_1e12_10k
1000000000298,267653395725.0818167411,odlyzko_block_1e12_10k,block_1e12_10k
